torq, px, py, theta, theta_dot, theta_dd, fitness, delta_theta, force, cx, x_dot, x_dd
0, 0.117398, 0.993085, 83.258, -0.117997, -0.0858176, 19.4835, 6.74198, -2.86728, 5.28412, 1.02117, -0.927737
0, 0.130073, 0.991504, 82.5262, -0.127733, -0.0973626, 21.49, 7.47384, -3.18334, 5.37594, 0.918232, -1.02943
0, 0.143828, 0.989603, 81.7306, -0.138857, -0.111236, 23.6711, 8.26943, -3.52217, 5.45638, 0.804432, -1.138
0, 0.15882, 0.987308, 80.8616, -0.151665, -0.128082, 26.0535, 9.13841, -3.88628, 5.52429, 0.679022, -1.2541
0, 0.17524, 0.984526, 79.9074, -0.166543, -0.148778, 28.6695, 10.0926, -4.27843, 5.5784, 0.541182, -1.3784
0, 0.193324, 0.981135, 78.8532, -0.183997, -0.174539, 31.5597, 11.1468, -4.70167, 5.61741, 0.390026, -1.51156
0, 0.213367, 0.976972, 77.6803, -0.204704, -0.207076, 34.7752, 12.3197, -5.15921, 5.63987, 0.224606, -1.6542
0, 0.235739, 0.971816, 76.3648, -0.22959, -0.248861, 38.3816, 13.6352, -5.65427, 5.64426, 0.0439367, -1.80669
0, 0.260918, 0.965361, 74.8755, -0.259944, -0.303531, 42.4648, 15.1245, -6.18957, 5.62896, -0.152964, -1.96901
0, 0.289528, 0.95717, 73.1703, -0.297602, -0.376585, 47.1395, 16.8297, -6.76643, 5.59227, -0.366981, -2.14017
0, 0.322395, 0.946605, 71.1922, -0.345255, -0.476529, 52.5628, 18.8078, -7.38288, 5.53239, -0.598728, -2.31747
0, 0.360639, 0.932706, 68.8606, -0.406939, -0.616843, 58.9549, 21.1394, -8.02994, 5.44757, -0.84821, -2.49482
0, 0.405786, 0.913968, 66.0596, -0.488862, -0.819224, 66.634, 23.9404, -8.68465, 5.33615, -1.11422, -2.66009
0, 0.459925, 0.887958, 62.6178, -0.600715, -1.11853, 76.07, 27.3822, -9.29798, 5.19682, -1.39331, -2.79089
0, 0.525805, 0.850605, 58.2775, -0.757511, -1.56797, 87.9689, 31.7225, -9.7801, 5.02898, -1.67843, -2.85126
0, 0.606584, 0.795019, 52.6571, -0.980955, -2.23443, 103.378, 37.3429, -10.0099, 4.8331, -1.9588, -2.80368
0, 0.704262, 0.70994, 45.23, -1.29627, -3.15311, 123.739, 44.77, -9.97259, 4.61038, -2.22712, -2.68317
0, 0.815385, 0.578919, 35.3746, -1.7201, -4.23838, 150.759, 54.6254, -10.1011, 4.36009, -2.50297, -2.7585
0, 0.924365, 0.381509, 22.4272, -2.25974, -5.3964, 186.255, 67.5728, -11.074, 4.07525, -2.84838, -3.45413
0, 0.995329, 0.0965457, 5.54029, -2.94732, -6.87579, 232.551, 84.4597, -12.5185, 3.74169, -3.33556, -4.87183
0, 0.958633, -0.284646, 343.462, -3.85334, -9.06018, 303.079, 106.538, -13.2294, 3.33813, -4.03559, -7.00026
0, 0.701519, -0.712651, 314.549, -5.04632, -11.9298, 382.347, 135.451, -12.3843, 2.83453, -5.03606, -10.0047
0, 0.136074, -0.990699, 277.821, -6.41029, -13.6398, 483.039, 172.179, -10.5837, 2.20369, -6.30834, -12.7228
0, -0.544058, -0.839047, 237.04, -7.11764, -7.07348, 414.118, 147.04, -11.7859, 1.49158, -7.12118, -8.12836
0, -0.932975, -0.359942, 201.097, -6.27324, 8.44402, 315.578, 111.097, -16.4541, 0.840103, -6.51474, 6.06442
0, -0.989521, 0.144389, 171.698, -5.13102, 11.4222, 224.98, 81.6981, -17.7984, 0.265392, -5.74711, 7.67625
0, -0.844718, 0.535212, 147.642, -4.19863, 9.32386, 159.028, 57.6417, -18.0867, -0.287257, -5.52649, 2.20617
0, -0.624584, 0.780958, 128.652, -3.31439, 8.84247, 106.966, 38.6517, -18.0064, -0.866066, -5.78809, -2.61597
0, -0.41879, 0.908083, 114.758, -2.42486, 8.89521, 68.876, 24.7582, -17.4944, -1.50348, -6.37409, -5.86002
0, -0.271264, 0.962505, 105.74, -1.57406, 8.50803, 44.1507, 15.7395, -16.9976, -2.21509, -7.11613, -7.42038
0, -0.192104, 0.981375, 101.076, -0.814004, 7.60057, 31.3644, 11.0756, -16.0678, -3.00241, -7.87317, -7.57042
0, -0.164659, 0.986351, 99.4774, -0.278937, 5.35067, 26.9829, 9.47741, -10.723, -3.84255, -8.4014, -5.28225
0, -0.158062, 0.987429, 99.0944, -0.0668479, 2.12089, 25.9328, 9.0944, -1.55057, -4.69478, -8.52239, -1.2099
0, -0.156532, 0.987673, 99.0056, -0.015492, 0.513559, 25.6895, 9.00564, 3.14998, -5.53821, -8.43427, 0.881193
0, -0.156097, 0.987742, 98.9804, -0.00440582, 0.110862, 25.0608, 8.9804, 4.32745, -6.36758, -8.29367, 1.406
0, -0.155893, 0.987774, 98.9686, -0.00206208, 0.0234374, 24.7941, 8.96858, 4.57974, -7.18176, -8.14178, 1.51887
0, -0.155736, 0.987799, 98.9595, -0.00158396, 0.00478116, 24.7214, 8.95951, 4.63019, -7.98052, -7.9876, 1.54182
0, -0.155588, 0.987822, 98.9509, -0.00150313, 0.000808274, 24.6897, 8.95089, 4.63748, -8.76382, -7.83304, 1.54556
0, -0.155439, 0.987845, 98.9423, -0.00150717, -4.03855e-05, 24.6664, 8.94226, 4.63552, -9.53167, -7.67852, 1.54519
0, -0.155288, 0.987869, 98.9335, -0.00152966, -0.000224871, 24.6446, 8.93349, 4.63154, -10.2841, -7.52413, 1.54392
0, -0.155134, 0.987893, 98.9246, -0.00155649, -0.000268265, 24.6229, 8.92458, 4.62706, -11.0211, -7.36989, 1.54244
0, -0.154978, 0.987918, 98.9155, -0.00158466, -0.000281763, 24.6008, 8.9155, 4.6224, -11.7427, -7.2158, 1.54089
0, -0.154818, 0.987943, 98.9063, -0.00161356, -0.000288999, 24.5784, 8.90625, 4.61765, -12.4488, -7.06187, 1.53931
0, -0.154656, 0.987968, 98.8968, -0.00164306, -0.000294999, 24.5555, 8.89684, 4.6128, -13.1397, -6.9081, 1.5377
0, -0.154491, 0.987994, 98.8873, -0.00167315, -0.000300834, 24.5322, 8.88725, 4.60786, -13.8151, -6.75449, 1.53605
0, -0.154322, 0.988021, 98.8775, -0.00170382, -0.000306733, 24.5085, 8.87749, 4.60284, -14.4752, -6.60105, 1.53438
0, -0.154151, 0.988047, 98.8675, -0.00173509, -0.000312747, 24.4844, 8.86755, 4.59772, -15.12, -6.44779, 1.53268
0, -0.153976, 0.988075, 98.8574, -0.00176698, -0.000318892, 24.4598, 8.85742, 4.59251, -15.7495, -6.29469, 1.53094
0, -0.153798, 0.988102, 98.8471, -0.0017995, -0.00032517, 24.4348, 8.84711, 4.5872, -16.3636, -6.14178, 1.52917
0, -0.153617, 0.98813, 98.8366, -0.00183266, -0.000331588, 24.4093, 8.83661, 4.58179, -16.9625, -5.98904, 1.52737
0, -0.153433, 0.988159, 98.8259, -0.00186647, -0.000338149, 24.3834, 8.82592, 4.57629, -17.5462, -5.83648, 1.52554
0, -0.153245, 0.988188, 98.815, -0.00190096, -0.000344856, 24.357, 8.81503, 4.57068, -18.1146, -5.68412, 1.52368
0, -0.153054, 0.988218, 98.8039, -0.00193613, -0.000351713, 24.3301, 8.80393, 4.56498, -18.6678, -5.53194, 1.52177
0, -0.152859, 0.988248, 98.7926, -0.001972, -0.000358724, 24.3027, 8.79264, 4.55916, -19.2058, -5.37996, 1.51984
0, -0.15266, 0.988279, 98.7811, -0.00200859, -0.000365894, 24.2748, 8.78113, 4.55324, -19.7286, -5.22817, 1.51787
0, -0.152458, 0.98831, 98.7694, -0.00204592, -0.000373227, 24.2464, 8.7694, 4.54721, -20.2363, -5.07658, 1.51586
0, -0.152252, 0.988342, 98.7575, -0.00208399, -0.000380727, 24.2175, 8.75746, 4.54107, -20.7288, -4.9252, 1.51382
0, -0.152042, 0.988374, 98.7453, -0.00212283, -0.000388399, 24.188, 8.7453, 4.53481, -21.2062, -4.77403, 1.51173
0, -0.151829, 0.988407, 98.7329, -0.00216245, -0.000396247, 24.158, 8.73291, 4.52844, -21.6685, -4.62307, 1.50961
0, -0.151611, 0.98844, 98.7203, -0.00220288, -0.000404276, 24.1275, 8.72029, 4.52195, -22.1157, -4.47232, 1.50745
0, -0.151389, 0.988474, 98.7074, -0.00224413, -0.000412491, 24.0963, 8.70743, 4.51534, -22.5479, -4.3218, 1.50525
0, -0.151163, 0.988509, 98.6943, -0.00228622, -0.000420898, 24.0646, 8.69433, 4.50861, -22.9651, -4.1715, 1.50301
0, -0.150933, 0.988544, 98.681, -0.00232917, -0.000429503, 24.0323, 8.68099, 4.50175, -23.3672, -4.02142, 1.50072
0, -0.150698, 0.98858, 98.6674, -0.002373, -0.000438309, 23.9994, 8.66739, 4.49476, -23.7544, -3.87158, 1.4984
0, -0.150459, 0.988616, 98.6535, -0.00241773, -0.000447324, 23.9659, 8.65354, 4.48764, -24.1265, -3.72198, 1.49603
0, -0.150216, 0.988653, 98.6394, -0.00246339, -0.000456553, 23.9318, 8.63942, 4.48039, -24.4838, -3.57262, 1.49361
0, -0.149968, 0.988691, 98.625, -0.00250999, -0.000466002, 23.897, 8.62504, 4.473, -24.8262, -3.4235, 1.49115
0, -0.149715, 0.988729, 98.6104, -0.00255756, -0.000475679, 23.8616, 8.61039, 4.46547, -25.1536, -3.27464, 1.48865
0, -0.149457, 0.988768, 98.5955, -0.00260611, -0.000485588, 23.8255, 8.59546, 4.4578, -25.4662, -3.12603, 1.48609
0, -0.149194, 0.988808, 98.5802, -0.00265569, -0.000495739, 23.7888, 8.58024, 4.44999, -25.764, -2.97768, 1.48349
0, -0.148927, 0.988848, 98.5647, -0.0027063, -0.000506136, 23.7513, 8.56474, 4.44202, -26.047, -2.8296, 1.48084
0, -0.148654, 0.988889, 98.5489, -0.00275798, -0.000516788, 23.7132, 8.54893, 4.43391, -26.3151, -2.68178, 1.47814
0, -0.148376, 0.988931, 98.5328, -0.00281075, -0.000527703, 23.6743, 8.53283, 4.42564, -26.5686, -2.53424, 1.47539
0, -0.148093, 0.988973, 98.5164, -0.00286464, -0.000538888, 23.6347, 8.51642, 4.41722, -26.8073, -2.38699, 1.47258
0, -0.147804, 0.989017, 98.4997, -0.00291968, -0.000550352, 23.5943, 8.49969, 4.40863, -27.0313, -2.24001, 1.46973
0, -0.14751, 0.989061, 98.4826, -0.00297589, -0.000562103, 23.5532, 8.48264, 4.39988, -27.2406, -2.09333, 1.46681
0, -0.14721, 0.989105, 98.4653, -0.0030333, -0.00057415, 23.5113, 8.46526, 4.39097, -27.4353, -1.94695, 1.46385
0, -0.146904, 0.989151, 98.4475, -0.00309195, -0.000586502, 23.4686, 8.44754, 4.38188, -27.6154, -1.80086, 1.46082
0, -0.146592, 0.989197, 98.4295, -0.00315187, -0.000599169, 23.4251, 8.42948, 4.37262, -27.7809, -1.65509, 1.45774
0, -0.146274, 0.989244, 98.4111, -0.00321308, -0.000612161, 23.3807, 8.41107, 4.36317, -27.9318, -1.50963, 1.45459
0, -0.14595, 0.989292, 98.3923, -0.00327563, -0.000625488, 23.3355, 8.39231, 4.35355, -28.0683, -1.36449, 1.45139
0, -0.14562, 0.989341, 98.3732, -0.00333955, -0.00063916, 23.2895, 8.37317, 4.34374, -28.1903, -1.21968, 1.44813
0, -0.145283, 0.98939, 98.3537, -0.00340487, -0.00065319, 23.2425, 8.35366, 4.33374, -28.2978, -1.0752, 1.4448
0, -0.144939, 0.989441, 98.3338, -0.00347163, -0.000667587, 23.1947, 8.33377, 4.32355, -28.3909, -0.93106, 1.4414
0, -0.144589, 0.989492, 98.3135, -0.00353986, -0.000682366, 23.1459, 8.31349, 4.31316, -28.4696, -0.787266, 1.43794
0, -0.144232, 0.989544, 98.2928, -0.00360962, -0.000697537, 23.0962, 8.29281, 4.30256, -28.534, -0.643824, 1.43442
