325245, 372753, 260187, 325239, 417777, 415287, 360250, 347744, 362724, 265191, 362741, 385252, 380252, 320227, 320231, 382740, 267697, 367722, 370244, 362723, 380247, 370245, 372760, 277696, 330235, 172608, 23.711, 362725, 377742, 387752, 252704, 382742, 387753, 252682, 385252, 275191, 345246, 27.3567, 277710, 337739, 297708, 325230, 262703, 242668, 390245, 380252, 355249, 382751, 287720, 250167, 332741, 347743, 502783, 275195, 572768, 310221, 385251, 357739, 292708, 380253, 335208, 245160, 380227, 257688, 227657, 507798, 427761, 345241, 232668, 240168, 242672, 387751, 275207, 282703, 245180, 292721, 350242, 365251, 17.597, 302721, 292698, 510283, 365246, 260182, 260186, 34.3235, 285209, 342720, 215172, 275207, 507769, 380242, 380246, 267694, 387744, 242679, 322706, 337726, 370228, 332739
365251, 357739, 260186, 23.711, 365251, 325239, 415287, 172608, 427761, 387751, 260182, 252682, 357739, 17.597, 292721, 380246, 355249, 240168, 370228, 362725, 345246, 335208, 507769, 257688, 350242, 292721, 242668, 385251, 242679, 285209, 23.711, 17.597, 387753, 347744, 242679, 292708, 232668, 172608, 335208, 345241, 350242, 322706, 385251, 330235, 380242, 17.597, 297708, 242668, 385251, 310221, 257685, 95118.9, 315200, 250181, 245177, 385252, 360250, 295209, 350242, 295226, 260182, 332708, 155101, 21.4963, 335233, 197621, 372730, 385251, 387748, 157602, 347741, 242668, 360224, 227665, 385253, 262689, 515263, 385250, 385253, 432761, 285183, 360224, 335234, 270193, 260190, 330206, 362725, 297711, 380242, 212631, 320205, 382750, 212627, 357750, 265183, 380244, 242668, 370252, 167607, 277701
350242, 355249, 357739, 385253, 387748, 350242, 370228, 21.4963, 250181, 365251, 380242, 295226, 17.597, 380242, 385251, 357739, 325239, 357739, 385253, 507769, 372730, 23.711, 427761, 23.711, 227665, 507769, 245177, 360224, 325239, 372730, 23.711, 270193, 212631, 385251, 260182, 350242, 270193, 292721, 432761, 325239, 432761, 385253, 17.597, 330206, 385251, 285209, 257688, 362725, 242668, 242679, 370230, 270195, 48.0025, 87615.2, 385253, 30.4595, 242677, 385252, 385252, 72605.6, 290219, 250152, 440261, 245180, 380242, 337744, 2545.79, 367752, 385249, 435261, 500262, 350241, 295224, 362750, 357734, 372731, 515270, 322701, 372729, 380242, 352718, 257664, 317724, 387750, 375232, 240165, 387751, 385239, 225139, 372730, 372732, 385253, 355245, 307737, 380242, 350241, 365226, 29.3479, 27544.6, 385251
242679, 21.4963, 330206, 292721, 507769, 260182, 337744, 380242, 380242, 507769, 72605.6, 292721, 337744, 30.4595, 72605.6, 385251, 355249, 507769, 227665, 372732, 352718, 330206, 242668, 372730, 242679, 380242, 290219, 270193, 357739, 242668, 372730, 387750, 362725, 357734, 23.711, 2545.79, 355245, 87615.2, 350242, 350242, 380242, 29.3479, 23.711, 385253, 515270, 295226, 257688, 385239, 370228, 435261, 365226, 367729, 295223, 380242, 35.6242, 362725, 387754, 520270, 270193, 205164, 375234, 387751, 240176, 345245, 29.8689, 377733, 15054.7, 330206, 387750, 497769, 140148, 355250, 195160, 227663, 192673, 370229, 245167, 380242, 19.5657, 52.6762, 547763, 360223, 367728, 342746, 380235, 70091.9, 320202, 180168, 490265, 382750, 367728, 357721, 390249, 387750, 322696, 165160, 365226, 282710, 247671, 377749
257688, 507769, 330206, 29.8689, 242679, 70091.9, 375234, 385239, 195160, 507769, 257688, 345245, 350242, 242679, 242679, 240176, 507769, 257688, 377733, 350242, 372730, 387750, 547763, 330206, 357721, 195160, 30.4595, 87615.2, 390249, 180168, 242679, 357721, 387750, 227663, 367729, 52.6762, 350242, 72605.6, 29.3479, 242668, 260182, 192673, 320202, 355250, 21.4963, 242668, 375234, 355249, 362725, 377733, 357720, 360223, 332707, 245178, 382749, 502768, 24.8545, 252690, 357751, 440260, 242675, 362723, 385249, 92571.9, 357710, 347740, 48.3361, 497759, 242695, 375234, 242677, 260189, 82610.6, 2.22813, 232690, 255180, 260189, 25.9061, 380236, 245170, 57595.7, 330235, 257688, 362726, 370229, 255189, 327707, 385249, 377736, 352748, 372730, 127625, 210167, 237668, 7.22565, 377740, 260188, 352719, 360222, 277687
327707, 320202, 257688, 2.22813, 29.8689, 385249, 192673, 347740, 355250, 195160, 320202, 242695, 382749, 357720, 260182, 21.4963, 347740, 260182, 357720, 245170, 242695, 385249, 332707, 2.22813, 377740, 497759, 255180, 242679, 237668, 370229, 357751, 257688, 362726, 352748, 352748, 385249, 2.22813, 242668, 257688, 29.8689, 260189, 195160, 242679, 355250, 245170, 255180, 547763, 260189, 240176, 257688, 347739, 525260, 54.9424, 380250, 370230, 385250, 262682, 100124, 370256, 245172, 352747, 272684, 267683, 260189, 257688, 57561.8, 357752, 245169, 245147, 345243, 260189, 377752, 342743, 240171, 260189, 245169, 245170, 245170, 242676, 387745, 240175, 302694, 192617, 297702, 262690, 250173, 260188, 352742, 35.9519, 37.383, 365255, 247670, 242673, 385250, 180111, 25.3265, 165160, 360251, 272679, 362728
387745, 385249, 245169, 355250, 347739, 547763, 262682, 320202, 260182, 257688, 260182, 260182, 195160, 37.383, 29.8689, 360251, 357751, 245147, 370229, 345243, 242668, 327707, 272679, 257688, 357720, 2.22813, 327707, 57561.8, 54.9424, 237668, 380250, 242673, 320202, 250173, 37.383, 2.22813, 497759, 240171, 245170, 2.22813, 260189, 2.22813, 257688, 260189, 547763, 195160, 260189, 352742, 21.4963, 342743, 345238, 292686, 327710, 347745, 15.7417, 32.415, 242680, 10.4862, 255181, 370250, 242671, 20068.2, 305200, 252680, 555262, 362754, 36.9492, 260182, 360223, 22.5897, 357749, 217631, 535265, 407758, 272684, 252675, 252680, 80098.4, 247671, 387741, 352742, 357751, 245168, 320200, 365255, 267689, 36.3389, 245170, 365254, 370255, 247672, 322703, 242668, 172664, 155100, 247672, 255181, 260189, 245172, 260189
407758, 252675, 260189, 260182, 247672, 242673, 252675, 260189, 320202, 320202, 245170, 255181, 327707, 365254, 272679, 2.22813, 362754, 260189, 250173, 255181, 385249, 260189, 260182, 260189, 292686, 347739, 245172, 345243, 2.22813, 292686, 250173, 260189, 385249, 37.383, 555262, 245147, 245169, 327710, 370255, 245170, 247671, 260182, 245172, 370229, 257688, 260189, 360251, 250173, 262682, 237668, 247670, 385250, 127588, 260175, 462761, 335209, 400249, 370258, 245167, 360254, 267684, 242675, 370229, 260187, 250173, 355248, 247668, 315199, 342713, 420262, 437773, 560265, 255169, 367727, 355248, 330206, 350247, 250173, 255188, 410257, 375232, 242669, 250174, 405251, 387750, 257681, 255181, 252674, 310194, 262690, 255179, 292686, 315197, 317690, 265183, 272685, 250173, 245174, 310196, 315207
327707, 257681, 260189, 257681, 315199, 245174, 245172, 260187, 315197, 362754, 260182, 385250, 362754, 255169, 252675, 260182, 260189, 335209, 245147, 257688, 252675, 260175, 250173, 370255, 245170, 245169, 327707, 245172, 260189, 375232, 347739, 360251, 315207, 355248, 272685, 245172, 462761, 260175, 260187, 245172, 410257, 272679, 250173, 310194, 345243, 317690, 370229, 385250, 370255, 260187, 265183, 290197, 357751, 245167, 262688, 257681, 255189, 350213, 305203, 312699, 330206, 235145, 250179, 262689, 247672, 352716, 302692, 245175, 240168, 352713, 395265, 315197, 380247, 227662, 307694, 260188, 352748, 250174, 252661, 312698, 345238, 242677, 392743, 250179, 380236, 330207, 245174, 375258, 345244, 260188, 272685, 117585, 227658, 262690, 377760, 280187, 257674, 247679, 355249, 295190
352713, 262689, 245169, 265183, 307694, 345238, 260187, 252661, 385250, 305203, 302692, 327707, 250173, 355248, 242677, 370229, 242677, 265183, 227658, 260182, 240168, 245172, 250173, 315199, 357751, 257681, 247679, 302692, 250179, 262689, 245172, 290197, 352748, 355249, 262688, 245172, 362754, 290197, 385250, 255189, 260175, 250173, 272679, 260182, 245172, 257681, 245172, 260175, 255189, 345244, 250173, 267685, 250172, 340235, 250171, 255181, 330229, 380264, 347718, 365227, 305195, 257688, 242669, 312696, 245170, 250180, 262690, 340209, 247671, 240178, 232667, 385249, 247673, 272685, 292687, 250177, 245171, 265176, 252670, 270184, 262689, 322704, 242669, 300200, 240174, 362752, 242671, 245166, 255189, 227654, 255173, 250180, 252674, 247672, 280188, 242669, 352748, 262683, 315197, 177653
